                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2736,                    0.1,                 0.4875,                 2.2964,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 2.3209,                 0.1375,                 0.6125,                 2.2907,             6.3624e-05,             6.3624e-05,             6.3624e-05
                      3,                 2.3249,                  0.175,                  0.675,                 2.2833,             9.7981e-05,             9.7981e-05,             9.7981e-05
                      4,                 2.3108,                 0.1875,                    0.7,                 2.2768,             0.00013163,             0.00013163,             0.00013163
                      5,                 2.1416,                 0.2625,                  0.775,                 2.2542,             0.00016457,             0.00016457,             0.00016457
                      6,                 2.1908,                 0.3125,                   0.75,                 2.2545,             0.00019681,             0.00019681,             0.00019681
                      7,                 2.0434,                   0.35,                  0.825,                 2.2412,             0.00022834,             0.00022834,             0.00022834
                      8,                 2.0661,                    0.4,                 0.8375,                 2.2252,             0.00025916,             0.00025916,             0.00025916
                      9,                 2.0737,                  0.425,                 0.8625,                 2.2175,             0.00028928,             0.00028928,             0.00028928
                     10,                 1.9571,                  0.425,                  0.875,                 2.2046,             0.00031869,             0.00031869,             0.00031869
                     11,                 1.8322,                 0.5375,                  0.925,                 2.1835,             0.00034739,             0.00034739,             0.00034739
                     12,                 1.9052,                  0.575,                 0.9375,                 2.1439,             0.00037538,             0.00037538,             0.00037538
                     13,                 1.6932,                 0.5625,                  0.925,                 2.1342,             0.00040267,             0.00040267,             0.00040267
                     14,                 1.6722,                 0.6125,                 0.9625,                 2.0925,             0.00042925,             0.00042925,             0.00042925
                     15,                 1.5044,                 0.6375,                  0.975,                 2.0619,             0.00045513,             0.00045513,             0.00045513
                     16,                 1.5252,                 0.6375,                  0.975,                 2.0636,              0.0004803,              0.0004803,              0.0004803
                     17,                 1.4579,                 0.6625,                 0.9625,                 2.0116,             0.00050476,             0.00050476,             0.00050476
                     18,                 1.5254,                  0.675,                  0.975,                 1.9926,             0.00052851,             0.00052851,             0.00052851
                     19,                 1.4146,                   0.65,                  0.975,                 1.9925,             0.00055156,             0.00055156,             0.00055156
                     20,                 1.4214,                  0.675,                 0.9625,                 1.9693,              0.0005739,              0.0005739,              0.0005739
                     21,                 1.2069,                 0.6875,                 0.9625,                 1.9432,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.1557,                  0.675,                   0.95,                 1.9241,             0.00057263,             0.00057263,             0.00057263
