                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76003,                0.75758,                      1,                0.66723,             0.00018564,             0.00018564,             0.00018564
                      2,                0.62497,                0.80303,                      1,                0.48393,             0.00034096,             0.00034096,             0.00034096
                      3,                0.53777,                0.86364,                      1,                0.48014,              0.0004581,              0.0004581,              0.0004581
                      4,                0.47576,                0.89394,                      1,                0.56351,             0.00050194,             0.00050194,             0.00050194
                      5,                0.37316,                0.87879,                      1,                0.51248,             0.00050194,             0.00050194,             0.00050194
                      6,                0.39199,                0.87879,                      1,                0.43807,             0.00043126,             0.00043126,             0.00043126
                      7,                0.37076,                0.86364,                      1,                0.44733,             0.00036057,             0.00036057,             0.00036057
                      8,                0.33956,                0.86364,                      1,                0.49464,             0.00028988,             0.00028988,             0.00028988
                      9,                0.33639,                0.87879,                      1,                0.43489,              0.0002192,              0.0002192,              0.0002192
                     10,                0.28558,                0.89394,                      1,                0.42683,             0.00014851,             0.00014851,             0.00014851
